Timestamp,Frequencia_MHz,RSSI_dBm
2025-11-23T16:15:40.323649,438.8,-89
2025-11-23T16:15:40.328624,438.9,-88
2025-11-23T16:15:40.333686,439.0,-89
2025-11-23T16:15:40.338683,439.1,-89
2025-11-23T16:15:40.343641,439.2,-88
2025-11-23T16:15:40.348637,439.3,-89
2025-11-23T16:15:40.353681,439.4,-89
2025-11-23T16:15:40.358702,439.5,-87
2025-11-23T16:15:40.363651,439.6,-88
2025-11-23T16:15:40.368639,439.7,-89
2025-11-23T16:15:40.373672,439.8,-87
2025-11-23T16:15:40.378604,439.9,-86
2025-11-23T16:15:40.383595,440.0,-87
2025-11-23T16:15:40.888907,430.0,-91
2025-11-23T16:15:40.893651,430.1,-88
2025-11-23T16:15:40.898608,430.2,-92
2025-11-23T16:15:40.903590,430.3,-92
2025-11-23T16:15:40.908580,430.4,-89
2025-11-23T16:15:40.913619,430.5,-89
2025-11-23T16:15:40.918596,430.6,-87
2025-11-23T16:15:40.923650,430.7,-85
2025-11-23T16:15:40.928663,430.8,-89
2025-11-23T16:15:40.933608,430.9,-87
2025-11-23T16:15:40.938629,431.0,-88
2025-11-23T16:15:40.943630,431.1,-90
2025-11-23T16:15:40.948593,431.2,-89
2025-11-23T16:15:40.953602,431.3,-88
2025-11-23T16:15:40.958708,431.4,-86
2025-11-23T16:15:40.963635,431.5,-86
2025-11-23T16:15:40.968615,431.6,-84
2025-11-23T16:15:40.973624,431.7,-85
2025-11-23T16:15:40.978603,431.8,-85
2025-11-23T16:15:40.983580,431.9,-86
2025-11-23T16:15:40.988716,432.0,-85
2025-11-23T16:15:40.993756,432.1,-84
2025-11-23T16:15:40.998595,432.2,-85
2025-11-23T16:15:41.003582,432.3,-84
2025-11-23T16:15:41.008671,432.4,-86
2025-11-23T16:15:41.013619,432.5,-89
2025-11-23T16:15:41.018587,432.6,-86
2025-11-23T16:15:41.023620,432.7,-90
2025-11-23T16:15:41.028646,432.8,-84
2025-11-23T16:15:41.033608,432.9,-89
2025-11-23T16:15:41.038623,433.0,-89
2025-11-23T16:15:41.043683,433.1,-90
2025-11-23T16:15:41.048609,433.2,-90
2025-11-23T16:15:41.053657,433.3,-89
2025-11-23T16:15:41.058597,433.4,-88
2025-11-23T16:15:41.063581,433.5,-92
2025-11-23T16:15:41.068604,433.6,-88
2025-11-23T16:15:41.073662,433.7,-86
2025-11-23T16:15:41.078591,433.8,-87
2025-11-23T16:15:41.083613,433.9,-89
2025-11-23T16:15:41.088656,434.0,-95
2025-11-23T16:15:41.093609,434.1,-91
2025-11-23T16:15:41.098606,434.2,-89
2025-11-23T16:15:41.103589,434.3,-89
2025-11-23T16:15:41.108621,434.4,-90
2025-11-23T16:15:41.113613,434.5,-88
2025-11-23T16:15:41.118598,434.6,-88
2025-11-23T16:15:41.123623,434.7,-87
2025-11-23T16:15:41.128589,434.8,-89
2025-11-23T16:15:41.133618,434.9,-90
2025-11-23T16:15:41.138667,435.0,-90
2025-11-23T16:15:41.143594,435.1,-88
2025-11-23T16:15:41.148580,435.2,-88
2025-11-23T16:15:41.153646,435.3,-88
2025-11-23T16:15:41.158612,435.4,-89
2025-11-23T16:15:41.163591,435.5,-88
2025-11-23T16:15:41.168576,435.6,-85
2025-11-23T16:15:41.173624,435.7,-90
2025-11-23T16:15:41.178594,435.8,-90
2025-11-23T16:15:41.183586,435.9,-92
2025-11-23T16:15:41.188647,436.0,-85
2025-11-23T16:15:41.193653,436.1,-92
2025-11-23T16:15:41.198595,436.2,-89
2025-11-23T16:15:41.203617,436.3,-90
2025-11-23T16:15:41.208644,436.4,-89
2025-11-23T16:15:41.213608,436.5,-91
2025-11-23T16:15:41.218601,436.6,-87
2025-11-23T16:15:41.223641,436.7,-87
2025-11-23T16:15:41.228613,436.8,-89
2025-11-23T16:15:41.233592,436.9,-86
2025-11-23T16:15:41.238627,437.0,-90
2025-11-23T16:15:41.243597,437.1,-91
2025-11-23T16:15:41.248654,437.2,-89
2025-11-23T16:15:41.254430,437.3,-90
2025-11-23T16:15:41.258663,437.4,-89
2025-11-23T16:15:41.263644,437.5,-88
2025-11-23T16:15:41.268653,437.6,-89
